number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
124,AER4,R2,Rep5,sand,Tumbe,G12,5,26.3,0.61,0.66,42.1221,-13.87,-8.62,5.3579,21.78,28.33,7.51,3.8892,2001.2728,89.1,0.48,55.47,0.13
125,AER4,R2,Rep5,sand,Murambatsvina,G9,5,26.95,0.39,0.48,48.2407,-10.71,-3.49,5.6079,23.24,30.45,20.44,2.3707,2069.6816,72.67,0.57,63.51,0.13
126,AER4,R2,Rep5,sand,Munzungu_munemari,G8,3,31,0.17,0.38,21.7791,-4.93,6.28,5.7916,27.45,31.6,55.02,2.5832,2262.1923,49.61,0.45,52.45,0.24
127,AER4,R2,Rep5,sand,Chizambia,G3,4,36,0.22,0.36,85.0727,-4.85,6.6,6.2129,27.34,32.24,37.25,-5.8232,1422.5438,48.84,0.49,56.05,0.22
128,AER4,R2,Rep5,sand,Chigunwe,G2,4,36.8,0.66,0.73,23.4558,-17.91,-12.71,6.4864,25.9,34.54,8.85,8.181,3372.1466,93.27,0.54,62.54,0.14
129,AER4,R2,Rep5,sand,Bobwhite,G1,4,39.95,0.17,0.42,55.4056,-8.74,4.48,9.0723,36.24,42.2,59.7,-1.3016,3214.7468,56.05,0.51,60.51,0.29
130,AER4,R2,Rep5,sand,Guinea_fowl,G4,4,41,0.18,0.25,86.4509,-2.48,5.93,10.916,17.64,22.18,28.41,-4.5626,254.157,38.39,0.55,59.43,0.1
131,AER4,R2,Rep5,sand,Muromo_wehoto,G10,7,46.5,0.39,0.46,61.8059,-8.09,-1.81,11.5027,18.62,24.31,16.6,-0.576,935.1949,69,0.53,59.04,0.1
132,AER4,R2,Rep5,sand,Kabhutsu,G5,6,59,0.17,0.28,83.2001,-3.79,8.58,19.5492,28.61,32.9,40.07,-6.501,1527.1724,46.53,0.47,54.56,0.24
133,AER4,R2,Rep6,sand,Kasawaya,G6,7,23.5,0.42,0.48,54.355,-10.9,-3.72,2.0051,23.52,29.93,12.84,2.3872,2052.4134,73.16,0.51,57.76,0.15
134,AER4,R2,Rep6,sand,Natal_common,G11,7,25.96,0.4,0.45,62.1183,-9.43,-2.66,2.2548,21.14,26.89,12.01,0.8588,1521.7877,71.2,0.49,55.89,0.13
135,AER4,R2,Rep6,sand,Makulu_red,G7,7,26.7,0.6,0.66,24.0823,-17.56,-12.53,4.3545,25.2,34.07,8.2,8.0714,3282.795,94.05,0.56,64.69,0.13
