Environment,Ward,Replication,Genotype,Genotype,SHW,SP,PY,Biomass,HI,GY, Severity,Class, GGA, Necrosis, a, u, Chlorosis, b, v, CSI
E3,10,5,Bobwhite,G1,50,16.66666667,60,60,0.090909091,10,60.56666667,,0.066666667,86.5558,0.813333333,16.29666667,9.9249,28.32333333,33.65333333,52.98333333
E3,10,5,Chigunwe,G2,32,57.33333333,75,75,0.401869159,43,59,,0.343333333,49.40343333,-5.083333333,1.9,8.6649,17.28333333,22.33,11.03
E3,10,5,Chizambia,G3,15,62.5,40,240,0.098039216,25,54.76666667,,0.106666667,57.55116667,-3.16,10.33333333,7.645233333,29.56333333,34.68666667,59.15666667
E3,10,5,Guineafowl,G4,0,0,0,0,0,0,60.93333333,,0.086666667,91.8675,2.313333333,17.69,15.68713333,27.86333333,31.17333333,48.22333333
E3,10,5,Kabhutsu,G5,50,5.660377358,53,53,0.029126214,3,71.51666667,,0.146666667,80.85863333,-2.03,4.87,23.13266667,14.14,18.11333333,8.266666667
E3,10,5,Kasawaya,G6,30,40,50,50,0.25,20,34.33333333,,0.233333333,45.78846667,-7.29,1.44,1.070666667,22.71,29.72666667,36.00666667
E3,10,5,Makulu_red,G7,44,4.347826087,46,46,0.022222222,2,41,,0.41,30.80963333,-7.41,-1.82,2.260066667,16.33,21.61,7.65
E3,10,5,Munzungu_munemari,G8,50,37.5,80,38,0.340909091,30,47.9,,0.116666667,60.3922,-2.836666667,9.436666667,4.489,26.21,31.78,53.14333333
E3,10,5,Murambatsvina,G9,8,78.94736842,38,38,0.652173913,30,44.46666667,,0.15,62.9231,-2.01,9.003333333,3.388933333,23.24,27.12666667,44.82333333
E3,10,5,Muromo_wehoto,G10,34,46.03174603,63,63,0.298969072,29,64.93333333,,0.123333333,78.2228,-1.133333333,9.42,18.49136667,21.26666667,25.3,33.67666667
E3,10,5,Natal_common,G11,47,53.92156863,102,38,0.647058824,55,39.5,,0.113333333,68.5398,-0.026666667,12.48,1.310466667,24.04333333,27.98,51.93
E3,10,5,Tumbe,G12,23,46.51162791,43,43,0.303030303,20,43.1,,0.086666667,76.3865,-0.543333333,12.5,2.7179,26.43333333,30.00666667,56.86
E3,10,6,Bobwhite,G1,59,15.71428571,70,70,0.085271318,11,61.16666667,,0.026666667,85.257,1.293333333,18.23666667,10.92646667,31.69,36.18333333,75.37
E3,10,6,Chigunwe,G2,25,61.53846154,65,65,0.444444444,40,59.7,,0.256666667,49.09666667,-4.25,6.093333333,8.348933333,24.32333333,29.01,31.4
E3,10,6,Chizambia,G3,25,61.53846154,65,200,0.177777778,40,55.1,,0.13,71.85796667,-1.02,10.65666667,7.4144,23.62666667,27.43333333,36.59
E3,10,6,Guineafowl,G4,33,34,50,50,0.204819277,17,61.63333333,,0.08,83.2727,0.74,12.36666667,13.22113333,22.06666667,25.14333333,41.58
E3,10,6,Kabhutsu,G5,48,4,50,50,0.020408163,2,71.83333333,,0.103333333,83.53643333,-0.036666667,11.28666667,24.77846667,21.45333333,25.02,33.43333333
E3,10,6,Kasawaya,G6,60,33.33333333,90,90,0.2,30,34.83333333,,0.046666667,67.95596667,-2.77,11.98333333,2.151466667,31.35333333,37.57666667,65.48333333
E3,10,6,Makulu_red,G7,44,20,55,55,0.111111111,11,41.5,,0.186666667,54.0705,-1.153333333,9.46,2.912633333,21.56333333,25.21,31.73333333
E3,10,6,Munzungu_munemari,G8,30,60,75,50,0.5625,45,48.46666667,,0.07,67.0787,-1.256666667,13.15333333,4.280933333,29.32666667,34.57,62.25333333
