number,AER,Growth_stage,Replication,soil_type,Genotype,Genotypes,Class,Severity,GGA,Necrosis,a,u,Chlorosis,b,v,CSI,GA,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
12,AER2,R1,Rep1,red,Kabhutsu,G5,7,55.21,0.15,2.51,11.7,20,14.41,14.86,-6.36,-46.31,63.43,17.24,606.56,25.77,0.49,53.34,0.1
13,AER2,R1,Rep2,red,Kasawaya,G6,5,23,0.09,15,36.47,0,25.88,28.98,0,0,0,17.11,1300.72,29.3,0.49,56.68,0.37
14,AER2,R1,Rep2,red,Natal_common,G11,5,27,0.1,15.87,44.71,2.21,39.54,89.26,-20.12,702.73,80.78,25.92,-855.41,14.22,0.52,55.47,0.22
15,AER2,R1,Rep2,red,Makulu_red,G7,5,30.1,0.45,12.79,32.97,2.6,16.08,48.31,-3.1,0,61.25,19.61,-223.62,19.31,0.51,55.18,0.26
16,AER2,R1,Rep2,red,Tumbe,G12,6,31.5,0.14,14.63,42.57,2.75,39.96,60.3,-19.29,1005.03,78.78,27.34,-687.93,15.56,0.53,56.6,0.22
17,AER2,R1,Rep2,red,Murambatsvina,G9,6,38,0.14,14.29,41.71,4.23,39.35,92.94,-19.29,975.96,75.26,27.33,704.47,25.53,0.49,55.6,0.38
18,AER2,R1,Rep2,red,Munzungu_munemari,G8,6,40.1,0.2,9.28,28.82,4.35,28.84,35.05,-14.61,626.85,71.05,25.73,0,17.11,0.49,52.86,0.25
19,AER2,R1,Rep2,red,Chizambia,G3,6,40.2,0.1,14.3,36.59,6.03,27.81,36.15,-17.88,-223.62,81.33,19.31,0,19.61,0.48,52.84,0.25
20,AER2,R1,Rep2,red,Chigunwe,G2,7,43.2,0.17,-2.5,8.68,7.72,14.85,23.23,-19.07,-855.41,28.07,14.22,626.85,25.73,0.49,54.48,0.27
21,AER2,R1,Rep2,red,Bobwhite,G1,7,44,0.23,11.63,32.09,7.98,38.72,79.57,-17.01,1300.72,77.12,29.3,975.96,27.33,0.49,56.32,0.39
