Genotype,Genotypes,Class,Severity,GGA,GA,Necrosis,a,u,Chlorosis,b,v,CSI,NGRDI,TGI,Hue,Intensity,Lightness,Saturation
Munzungu_munemari,G8,6,26,0.24,0.33,70.9,-2.79,12.02,7.05,34.27,37.17,27.04,-6.65,2394.8,45.76,0.45,52.77,0.33
Chizambia,G3,5,31,0.32,0.35,54.84,-4.26,5.35,7.05,22.16,27.23,14.38,0.39,1271.58,46.75,0.52,57.85,0.15
Chigunwe,G2,4,32,0.37,0.44,42.3,-9.11,3.08,8.8,24.37,39.99,27.4,2.3,0,57.75,0.49,57.99,0.29
Bobwhite,G1,6,34,0.34,0.43,79,-7.79,14.97,9.23,23.59,41.42,46.65,9,0,48.64,0.55,61.53,0.15
Guinea_fowl,G4,6,37,0.52,0.55,59.53,-12.22,-9.34,11.71,21.66,26.49,56,7.21,911.46,36.76,0.56,60.77,0.14
Muromo_wehoto,G10,7,41,0.38,0.42,52.4,-6.7,3.09,40,25.15,30.95,11.07,-0.81,2115.19,54.35,0.52,58.83,0.18
Kabhutsu,G5,4,53.8,0.2,0.21,77.34,-0.06,9.37,60,18.21,21.3,6.51,-5.31,706.48,33.17,0.46,50.9,0.14
Kasawaya,G6,6,20.1,0.2,0.24,61.592,-3.65,4.69,2.9241,18.45,23.65,16.03,-2.0278,999.2077,42.75,0.58,62.69,0.1
Natal_common,G11,6,23.5,0.17,0.22,68.7095,-1.57,9.54,3.2749,22.53,27.12,20.87,-4.1132,1245.3506,38.72,0.53,58.19,0.16
Makulu_red,G7,6,23.5,0.31,0.36,50.5016,-8.86,-1.13,3.3641,22.51,29.06,14.54,1.4855,2163.4165,65.6,0.55,61.75,0.13
Tumbe,G12,4,24.5,0.31,0.35,55.7905,-7.66,-0.1,3.4846,20.85,27.13,11.47,0.6855,1681.2111,61.79,0.57,62.67,0.11
Murambatsvina,G9,4,25,0.24,0.28,56.8228,-3.98,4.48,3.9037,19.14,24.26,11.71,-1.5237,1264.426,44.9,0.55,60.6,0.11
Munzungu_munemari,G8,4,29,0.23,0.26,55.9789,-3.78,3.74,4.0762,16.98,21.86,11.42,-1.366,931.5537,43.45,0.57,61.22,0.09
Chizambia,G3,5,34,0.18,0.22,71.0361,-1.09,9.53,4.4686,20.93,25.36,16.79,-4.3802,947.0182,36.48,0.53,58.34,0.14
Chigunwe,G2,4,35,0.25,0.29,64.1227,-4.13,4.71,4.5152,20.09,25.39,13.78,-1.9263,1130.089,45.46,0.56,60.95,0.12
Bobwhite,G1,6,37.8,0.22,0.26,56.8029,-4.02,4.1,4.5236,18.43,23.56,13.64,-1.6566,1147.6131,44.81,0.56,61.26,0.1
